,bond length,anion,icohp
1195,2.01571,F,-2.59118
1196,1.97182,F,-2.98807
1197,1.97182,F,-2.98764
1198,2.00013,F,-2.6778199999999996
1199,2.01572,F,-2.59842
1200,1.82516,O,-5.3255
1201,1.82148,O,-5.3657
1202,1.82515,O,-5.32566
1203,1.82148,O,-5.36608
1204,1.82516,O,-5.32545
1205,1.82148,O,-5.36587
1206,1.82517,O,-5.32491
1207,1.82148,O,-5.365220000000001
1208,1.82516,O,-5.32783
1209,1.82148,O,-5.36547
1210,1.82516,O,-5.327579999999999
1211,1.82148,O,-5.36522
1212,1.82516,O,-5.324579999999999
1213,1.82148,O,-5.36589
1214,1.82517,O,-5.32451
1215,1.82148,O,-5.36592
1216,1.9724,F,-2.972
1217,1.9724,F,-2.9989299999999997
1218,2.0107,F,-2.62311
1219,2.01817,F,-2.58635
1220,1.9724,F,-2.9821799999999996
1221,1.97241,F,-2.98932
1222,2.01069,F,-2.62332
1223,2.01816,F,-2.58679
1224,1.9724,F,-2.98347
1225,1.97241,F,-2.98695
1226,2.0107,F,-2.6222000000000003
1227,2.01817,F,-2.58607
1228,1.9724,F,-2.96793
1229,1.9724,F,-3.00138
1230,2.0107,F,-2.62181
1231,2.01817,F,-2.5857799999999997
1232,1.9724,F,-2.99237
1233,1.9724,F,-2.97743
1234,2.0107,F,-2.62122
1235,2.01817,F,-2.5857799999999997
1236,1.9724,F,-2.9940300000000004
1237,1.9724,F,-2.9752
1238,2.0107,F,-2.62101
1239,2.01817,F,-2.58567
1240,1.9724,F,-2.99384
1241,1.9724,F,-2.97734
1242,2.0107,F,-2.6231999999999998
1243,2.01817,F,-2.58641
1244,1.9724,F,-2.99568
1245,1.9724,F,-2.97556
1246,2.01069,F,-2.62317
1247,2.01817,F,-2.5865299999999998
1248,1.83135,O,-5.258509999999999
1249,1.82217,O,-5.36393
1250,1.82656,O,-5.31189
1251,1.82318,O,-5.342230000000001
1252,1.83136,O,-5.25911
1253,1.82217,O,-5.363899999999999
1254,1.82654,O,-5.3102
1255,1.82317,O,-5.34148
1256,1.82503,O,-5.32625
1257,1.82022,O,-5.383419999999999
1258,1.82081,O,-5.37681
1259,1.82138,O,-5.3593399999999995
1260,1.82505,O,-5.32593
1261,1.82022,O,-5.38377
1262,1.82081,O,-5.3754100000000005
1263,1.82138,O,-5.358639999999999
1264,1.97396,F,-2.97832
1265,1.97396,F,-2.97234
1266,2.00476,F,-2.64986
1267,2.02107,F,-2.57106
1268,1.97104,F,-2.9934
1269,1.97104,F,-2.9925699999999997
1270,2.00947,F,-2.62799
1271,2.01968,F,-2.5834799999999998
1272,1.97396,F,-2.98208
1273,1.97395,F,-2.96826
1274,2.00475,F,-2.64945
1275,2.02107,F,-2.57075
1276,1.97104,F,-2.9833100000000004
1277,1.97104,F,-3.00204
1278,2.00947,F,-2.62772
1279,2.01968,F,-2.58327
1280,1.97427,F,-2.97289
1281,1.97428,F,-2.97385
1282,2.01107,F,-2.6208
1283,2.01684,F,-2.5890199999999997
1284,1.97139,F,-2.98764
1285,1.9714,F,-2.9934700000000003
1286,2.01519,F,-2.59943
1287,2.01519,F,-2.60637
1288,1.97428,F,-2.96264
1289,1.97428,F,-2.9840299999999997
1290,2.01107,F,-2.62107
1291,2.01684,F,-2.58926
1292,1.97138,F,-3.00274
1293,1.9714,F,-2.9774599999999998
1294,2.01519,F,-2.59899
1295,2.01518,F,-2.6056
1296,1.83178,O,-5.2575199999999995
1297,1.83178,O,-5.25825
1298,1.82715,O,-5.30744
1299,1.83298,O,-5.2411200000000004
1300,1.83298,O,-5.24015
1301,1.82715,O,-5.30564
1302,1.82823,O,-5.29313
1303,1.82823,O,-5.29427
1304,1.8232,O,-5.351990000000001
1305,1.82321,O,-5.35191
1306,1.81906,O,-5.402990000000001
1307,1.82428,O,-5.3253
1308,1.82428,O,-5.32424
1309,1.81906,O,-5.40202
1310,1.82012,O,-5.375640000000001
1311,1.82012,O,-5.3757
1312,1.97491,F,-2.97832
1313,1.9749,F,-2.9655699999999996
1314,2.00803,F,-2.63606
1315,2.00803,F,-2.63577
1316,1.9722,F,-2.9941199999999997
1317,1.97219,F,-2.9796300000000002
1318,2.01247,F,-2.61397
1319,2.00659,F,-2.64837
1320,1.9722,F,-2.9933
1321,1.97219,F,-2.9790200000000002
1322,2.00659,F,-2.6471799999999996
1323,2.01247,F,-2.61309
1324,1.96945,F,-3.00887
1325,1.96944,F,-2.99665
1326,2.01115,F,-2.62274
1327,2.01115,F,-2.62264
1328,1.97558,F,-2.9552199999999997
1329,1.97559,F,-2.97417
1330,2.00963,F,-2.62239
1331,2.00962,F,-2.6224600000000002
1332,1.97287,F,-2.97522
1333,1.97288,F,-2.98675
1334,2.01391,F,-2.59886
1335,2.00852,F,-2.63783
1336,1.97287,F,-2.97433
1337,1.97288,F,-2.98691
1338,2.00851,F,-2.63712
1339,2.01391,F,-2.59836
1340,1.97012,F,-2.9913
1341,1.97012,F,-3.0025500000000003
1342,2.01236,F,-2.61571
1343,2.01236,F,-2.61585
1344,1.79844,O,-5.65006
1345,1.79845,O,-5.617319999999999
1346,1.87826,O,-4.60868
1347,1.87915,O,-4.589180000000001
1348,1.87827,O,-4.59297
1349,1.87914,O,-4.604229999999999
1350,1.89788,O,-4.36193
1351,1.88249,O,-4.517250000000001
1352,1.88206,O,-4.53613
1353,1.89789,O,-4.360049999999999
1354,1.88249,O,-4.53291
1355,1.88206,O,-4.52392
1356,1.80499,O,-5.79014
1357,1.8101,O,-5.41979
1358,1.80499,O,-5.78857
1359,1.81009,O,-5.43213
1360,1.89888,F,-3.685
1361,1.89887,F,-3.66957
1362,1.917,F,-3.44144
1363,1.91903,F,-3.40456
1364,1.95896,F,-2.9011
1365,1.89887,F,-3.6787099999999997
1366,1.89887,F,-3.6850199999999997
1367,1.917,F,-3.45119
1368,1.91904,F,-3.40382
1369,1.95895,F,-2.91819
1370,1.94823,F,-3.2143800000000002
1371,1.94823,F,-3.19625
1372,1.97938,F,-2.85741
1373,1.983,F,-2.84816
1374,1.94823,F,-3.20818
1375,1.94823,F,-3.2026399999999997
1376,1.97937,F,-2.85784
