r	exp	calc	diff
4.68	-1.51424	-1.42084	-0.0934
4.69	-1.63871	-1.51152	-0.12719
4.7	-1.75112	-1.59507	-0.15605
4.71	-1.85178	-1.67182	-0.17996
4.72	-1.94141	-1.74227	-0.19914
4.73	-2.02106	-1.80709	-0.21397
4.74	-2.09204	-1.86707	-0.22497
4.75	-2.15589	-1.9231	-0.23279
4.76	-2.21426	-1.97612	-0.23814
4.77	-2.26887	-2.02707	-0.2418
4.78	-2.32139	-2.07687	-0.24452
4.79	-2.37336	-2.12638	-0.24698
4.8	-2.42613	-2.17634	-0.24979
4.81	-2.48079	-2.22733	-0.25346
4.82	-2.53812	-2.27981	-0.25831
4.83	-2.5985	-2.334	-0.2645
4.84	-2.66199	-2.38997	-0.27202
4.85	-2.7282	-2.44757	-0.28063
4.86	-2.79642	-2.50644	-0.28998
4.87	-2.86556	-2.56607	-0.29949
4.88	-2.93425	-2.62576	-0.30849
4.89	-3.00087	-2.6847	-0.31617
4.9	-3.06364	-2.74193	-0.32171
4.91	-3.12066	-2.79646	-0.3242
4.92	-3.17004	-2.84724	-0.3228
4.93	-3.20992	-2.8932	-0.31672
4.94	-3.2386	-2.9333	-0.3053
4.95	-3.25457	-2.96657	-0.288
4.96	-3.25659	-2.99209	-0.2645
4.97	-3.24372	-3.00906	-0.23466
4.98	-3.21536	-3.01677	-0.19859
4.99	-3.17124	-3.01464	-0.1566
5	-3.11147	-3.00219	-0.10928
5.01	-3.03648	-2.97909	-0.05739
5.02	-2.947	-2.94507	-0.00193
5.03	-2.84402	-2.89998	0.05596
5.04	-2.72876	-2.84375	0.11499
5.05	-2.60253	-2.77635	0.17382
5.06	-2.46678	-2.69779	0.23101
5.07	-2.32292	-2.60812	0.2852
5.08	-2.17235	-2.50739	0.33504
5.09	-2.01633	-2.39564	0.37931
5.1	-1.85598	-2.2729	0.41692
5.11	-1.6922	-2.13919	0.44699
5.12	-1.52569	-1.99453	0.46884
5.13	-1.35689	-1.83892	0.48203
5.14	-1.186	-1.67239	0.48639
5.15	-1.01302	-1.49498	0.48196
5.16	-0.837736	-1.30679	0.469054
5.17	-0.659791	-1.10799	0.448199
5.18	-0.478719	-0.898859	0.42014
5.19	-0.29401	-0.679788	0.385778
5.2	-0.105163	-0.451321	0.346158
5.21	0.088246	-0.214167	0.302413
5.22	0.286513	0.0307816	0.2557314
5.23	0.489751	0.28244	0.207311
5.24	0.697843	0.539531	0.158312
