r	calc	exp	diff
4.72	-1.64104	-1.94141	-0.30037
4.73	-1.72599	-2.02106	-0.29507
4.74	-1.8081	-2.09204	-0.28395
4.75	-1.8874	-2.15589	-0.26849
4.76	-1.96393	-2.21426	-0.25033
4.77	-2.03771	-2.26887	-0.23116
4.78	-2.10873	-2.32139	-0.21266
4.79	-2.17697	-2.37336	-0.1964
4.8	-2.24237	-2.42613	-0.18376
4.81	-2.30486	-2.48079	-0.17593
4.82	-2.36436	-2.53812	-0.17377
4.83	-2.42073	-2.5985	-0.17777
4.84	-2.47385	-2.66199	-0.18814
4.85	-2.52356	-2.7282	-0.20464
4.86	-2.56968	-2.79642	-0.22674
4.87	-2.612	-2.86556	-0.25356
4.88	-2.65032	-2.93425	-0.28393
4.89	-2.68439	-3.00087	-0.31648
4.9	-2.71397	-3.06364	-0.34967
4.91	-2.73879	-3.12066	-0.38187
4.92	-2.75857	-3.17004	-0.41147
4.93	-2.77302	-3.20992	-0.4369
4.94	-2.78181	-3.2386	-0.45679
4.95	-2.78464	-3.25457	-0.46993
4.96	-2.78118	-3.25659	-0.47541
4.97	-2.77108	-3.24372	-0.47264
4.98	-2.754	-3.21536	-0.46136
4.99	-2.7296	-3.17124	-0.44165
5	-2.69752	-3.11147	-0.41395
5.01	-2.65744	-3.03648	-0.37905
5.02	-2.60901	-2.947	-0.33799
5.03	-2.55194	-2.84402	-0.29209
5.04	-2.48592	-2.72876	-0.24284
5.05	-2.41069	-2.60253	-0.19184
5.06	-2.32604	-2.46678	-0.14074
5.07	-2.23178	-2.32292	-0.09114
5.08	-2.12777	-2.17235	-0.04458
5.09	-2.01396	-2.01633	-0.00237
5.1	-1.89033	-1.85598	0.03435
5.11	-1.75696	-1.6922	0.06476
5.12	-1.614	-1.52569	0.08831
5.13	-1.46168	-1.35689	0.10479
5.14	-1.30032	-1.186	0.11433
5.15	-1.13036	-1.01302	0.11734
5.16	-0.95229	-0.83774	0.11455
5.17	-0.76672	-0.65979	0.10693
5.18	-0.57434	-0.47872	0.09562
5.19	-0.37594	-0.29401	0.08193
5.2	-0.17237	-0.10516	0.06721
5.21	0.03542	0.08825	0.05282
5.22	0.24645	0.28651	0.04006
5.23	0.45965	0.48975	0.0301
5.24	0.67395	0.69784	0.0239
5.25	0.88821	0.91042	0.02221
5.26	1.10131	1.12682	0.02551
5.27	1.31212	1.3461	0.03398
5.28	1.51954	1.56706	0.04752
5.29	1.72247	1.78822	0.06575
5.3	1.9199	2.0079	0.088
5.31	2.11085	2.22424	0.11339
5.32	2.29443	2.43528	0.14085
5.33	2.46982	2.63902	0.1692
5.34	2.6363	2.8335	0.1972
5.35	2.79327	3.01684	0.22357
5.36	2.9402	3.18735	0.24715
5.37	3.07672	3.34356	0.26684
5.38	3.20252	3.48433	0.28181
5.39	3.31744	3.60881	0.29137
5.4	3.42141	3.71656	0.29515
5.41	3.51447	3.80751	0.29304
5.42	3.59675	3.88199	0.28524
5.43	3.66848	3.94068	0.2722
5.44	3.72996	3.98463	0.25468
5.45	3.78154	4.01517	0.23363
5.46	3.82366	4.03387	0.21022
5.47	3.85677	4.04249	0.18573
5.48	3.88136	4.04286	0.1615
5.49	3.89795	4.03686	0.13891
5.5	3.90705	4.02627	0.11922
5.51	3.90917	4.01277	0.1036
5.52	3.9048	3.99782	0.09302
5.53	3.89439	3.98261	0.08822
5.54	3.87838	3.96802	0.08964
5.55	3.85715	3.95459	0.09744
5.56	3.83104	3.94247	0.11143
5.57	3.80034	3.93146	0.13112
5.58	3.76529	3.92101	0.15573
5.59	3.72606	3.91022	0.18416
5.6	3.68278	3.89794	0.21516
5.61	3.63553	3.88278	0.24725
5.62	3.58435	3.86319	0.27884
5.63	3.52922	3.83753	0.30832
5.64	3.47008	3.80418	0.3341
5.65	3.40685	3.76154	0.35469
5.66	3.33943	3.7082	0.36877
5.67	3.26769	3.64292	0.37523
5.68	3.1915	3.56474	0.37324
5.69	3.1107	3.47301	0.36231
5.7	3.02516	3.3674	0.34224
5.71	2.93475	3.24797	0.31322
5.72	2.83935	3.1151	0.27575
5.73	2.73887	2.96954	0.23067
5.74	2.63324	2.81234	0.1791
5.75	2.52243	2.64483	0.1224
5.76	2.40642	2.46855	0.06213
5.77	2.28526	2.28521	-5.20548E-5
5.78	2.15901	2.09659	-0.06242
5.79	2.0278	1.90449	-0.12331
5.8	1.89176	1.71069	-0.18107
5.81	1.7511	1.51683	-0.23427
5.82	1.60606	1.32438	-0.28168
5.83	1.4569	1.13459	-0.32231
5.84	1.30394	0.94848	-0.35546
5.85	1.14752	0.76674	-0.38078
5.86	0.98802	0.5898	-0.39821
5.87	0.82583	0.41781	-0.40802
5.88	0.66139	0.25062	-0.41078
5.89	0.49514	0.08785	-0.40729
5.9	0.32753	-0.07106	-0.39859
5.91	0.15904	-0.22684	-0.38588
5.92	-0.00986	-0.3803	-0.37044
5.93	-0.1787	-0.5323	-0.35359
5.94	-0.347	-0.68363	-0.33663
5.95	-0.5143	-0.83504	-0.32074
5.96	-0.68014	-0.98711	-0.30697
5.97	-0.84409	-1.14025	-0.29617
5.98	-1.00571	-1.29463	-0.28892
5.99	-1.16461	-1.45019	-0.28558
6	-1.3204	-1.60661	-0.28621
6.01	-1.47274	-1.76331	-0.29057
6.02	-1.62128	-1.91949	-0.29822
6.03	-1.76571	-2.07411	-0.3084
6.04	-1.90575	-2.226	-0.32025
6.05	-2.04114	-2.37382	-0.33269
6.06	-2.17163	-2.51619	-0.34456
6.07	-2.29701	-2.65172	-0.35471
6.08	-2.41708	-2.77907	-0.36199
6.09	-2.53165	-2.89698	-0.36533
6.1	-2.64054	-3.0044	-0.36386
6.11	-2.7436	-3.10047	-0.35687
6.12	-2.84067	-3.18457	-0.3439
6.13	-2.9316	-3.25637	-0.32477
6.14	-3.01625	-3.31583	-0.29958
6.15	-3.09447	-3.36322	-0.26875
6.16	-3.16611	-3.39906	-0.23296
6.17	-3.23102	-3.42415	-0.19313
6.18	-3.28906	-3.43952	-0.15046
6.19	-3.34006	-3.44635	-0.10629
6.2	-3.38389	-3.44597	-0.06208
6.21	-3.42037	-3.43976	-0.01939
6.22	-3.44936	-3.4291	0.02026
6.23	-3.47071	-3.41532	0.05539
6.24	-3.48428	-3.39961	0.08467
6.25	-3.48993	-3.38302	0.10691
6.26	-3.48755	-3.36633	0.12122
6.27	-3.47704	-3.35012	0.12692
6.28	-3.45833	-3.33465	0.12368
6.29	-3.43139	-3.31991	0.11148
6.3	-3.39618	-3.3056	0.09058
6.31	-3.35276	-3.29115	0.06161
6.32	-3.30117	-3.27575	0.02542
6.33	-3.24153	-3.25837	-0.01684
6.34	-3.17401	-3.23784	-0.06383
6.35	-3.0988	-3.2129	-0.1141
6.36	-3.01617	-3.18222	-0.16605
6.37	-2.92643	-3.14452	-0.21809
6.38	-2.82993	-3.09859	-0.26866
6.39	-2.72709	-3.04337	-0.31628
6.4	-2.61836	-2.978	-0.35965
6.41	-2.50424	-2.90185	-0.39761
6.42	-2.38527	-2.81454	-0.42927
6.43	-2.26204	-2.71603	-0.454
6.44	-2.13513	-2.60652	-0.47139
6.45	-2.0052	-2.48655	-0.48135
6.46	-1.87289	-2.35691	-0.48403
6.47	-1.73885	-2.21867	-0.47982
6.48	-1.60375	-2.07307	-0.46932
6.49	-1.46827	-1.92155	-0.45328
6.5	-1.33305	-1.76564	-0.4326
6.51	-1.19873	-1.60692	-0.40819
6.52	-1.06594	-1.44697	-0.38103
6.53	-0.93527	-1.28733	-0.35206
6.54	-0.80727	-1.12938	-0.32211
6.55	-0.68248	-0.97438	-0.2919
6.56	-0.56138	-0.82338	-0.262
6.57	-0.4444	-0.6772	-0.2328
6.58	-0.33194	-0.53643	-0.20449
6.59	-0.22435	-0.40141	-0.17707
6.6	-0.12192	-0.27225	-0.15034
6.61	-0.0249	-0.14884	-0.12394
6.62	0.06651	-0.03088	-0.09738
6.63	0.15214	0.08209	-0.07006
6.64	0.2319	0.1906	-0.04129
6.65	0.3057	0.29528	-0.01041
6.66	0.37351	0.39674	0.02323
6.67	0.43535	0.49555	0.0602
6.68	0.49122	0.59218	0.10095
6.69	0.54121	0.68697	0.14576
6.7	0.58537	0.78009	0.19472
6.71	0.62382	0.87151	0.2477
6.72	0.65665	0.96099	0.30434
6.73	0.68398	1.04805	0.36407
6.74	0.70594	1.13203	0.42609
6.75	0.72265	1.21205	0.4894
6.76	0.73423	1.28706	0.55283
6.77	0.74079	1.35591	0.61512
6.78	0.74243	1.41733	0.6749
6.79	0.73926	1.47004	0.73078
6.8	0.73136	1.51274	0.78139
6.81	0.7188	1.54423	0.82544
6.82	0.70164	1.56343	0.86179
6.83	0.67994	1.56941	0.88947
6.84	0.65373	1.56146	0.90773
6.85	0.62304	1.53912	0.91608
6.86	0.5879	1.50218	0.91428
6.87	0.54832	1.45071	0.90239
6.88	0.50432	1.38508	0.88076
6.89	0.45591	1.3059	0.84999
6.9	0.40312	1.21404	0.81092
6.91	0.34595	1.11061	0.76466
6.92	0.28446	0.99687	0.71241
6.93	0.21868	0.87423	0.65555
6.94	0.14868	0.74417	0.59548
6.95	0.07454	0.60821	0.53366
6.96	-0.00364	0.46785	0.47148
6.97	-0.08573	0.32451	0.41024
6.98	-0.1716	0.17949	0.35109
6.99	-0.26106	0.03394	0.295
7	-0.35392	-0.11118	0.24274
7.01	-0.44994	-0.25512	0.19482
7.02	-0.54889	-0.39735	0.15154
7.03	-0.65047	-0.53756	0.11291
7.04	-0.75439	-0.67565	0.07873
7.05	-0.86032	-0.81171	0.04861
7.06	-0.9679	-0.94596	0.02195
7.07	-1.07678	-1.07877	-0.00199
7.08	-1.18656	-1.21056	-0.024
7.09	-1.29685	-1.3418	-0.04495
7.1	-1.40722	-1.47291	-0.06569
7.11	-1.51725	-1.60427	-0.08702
7.12	-1.6265	-1.7361	-0.1096
7.13	-1.73453	-1.8685	-0.13397
7.14	-1.84089	-2.00137	-0.16048
7.15	-1.94513	-2.13438	-0.18925
7.16	-2.0468	-2.26701	-0.22021
7.17	-2.14544	-2.39846	-0.25302
7.18	-2.24061	-2.52773	-0.28712
7.19	-2.33185	-2.65364	-0.32179
7.2	-2.41872	-2.77478	-0.35606
7.21	-2.50079	-2.88964	-0.38885
7.22	-2.57761	-2.9966	-0.41899
7.23	-2.64878	-3.09399	-0.44521
7.24	-2.71386	-3.18016	-0.4663
7.25	-2.77246	-3.25351	-0.48105
7.26	-2.82417	-3.31257	-0.4884
7.27	-2.86863	-3.35604	-0.48741
7.28	-2.90547	-3.38283	-0.47736
7.29	-2.93433	-3.39211	-0.45778
7.3	-2.95491	-3.38333	-0.42842
7.31	-2.96689	-3.35626	-0.38937
7.32	-2.97001	-3.31097	-0.34096
7.33	-2.96403	-3.24786	-0.28383
7.34	-2.94875	-3.16764	-0.21889
7.35	-2.92399	-3.07131	-0.14732
7.36	-2.88963	-2.9601	-0.07047
7.37	-2.8456	-2.83549	0.01011
7.38	-2.79186	-2.69912	0.09274
7.39	-2.72844	-2.55274	0.1757
7.4	-2.65542	-2.39819	0.25723
7.41	-2.57292	-2.23733	0.33559
7.42	-2.48115	-2.07198	0.40917
7.43	-2.38034	-1.90388	0.47646
7.44	-2.27082	-1.73466	0.53616
7.45	-2.15295	-1.56577	0.58718
7.46	-2.02714	-1.39849	0.62865
7.47	-1.89389	-1.23389	0.66
7.48	-1.75372	-1.07281	0.68092
7.49	-1.60722	-0.91586	0.69135
7.5	-1.455	-0.76346	0.69154
7.51	-1.29772	-0.61578	0.68195
7.52	-1.13609	-0.47283	0.66326
7.53	-0.97083	-0.33447	0.63636
